"学籍番号","提出日時","（必須）本日の授業に関する質問を書け。質問が全く無い場合は本日の講義の要点を１００字程度で書け。項目の箇条書きではなく、文章形式で書くこと。また、途中に改行を含めないこと。","中西からの回答","（選択）授業の進め方などについて、感想や意見があればどうぞ。無ければ記入不要。","中西からの回答"
"N07081","10/21/14 15:36","条件式はJavaなど言語によって異なるのでしょうか?","条件式の構文についての質問かと思います。言語によって少し異なります。","",""
"N08033","10/21/14 14:56","BNFの構文式は勝手に並び替えてはならず、曖昧性では複数の構文木ができてしまいコンパイル   結果がわからなくなる","曖昧な文法規則のままでは、コンパイラが作れません。そこに約束事が追加されるというわけです。","",""
"N09010","10/21/14 14:55","構文解析について、BNFを用いて学習した。特に今回は、算術式や代入式の構文木を書く練習をし、その後、構文図について軽く触れた。また、構文規則が曖昧であるときに生じる不都合についても学習した。","何をやったかの羅列では復習にならないからダメです。内容を説明してください。たとえば、構文木と構文図がどう違うのかなど。","",""
"N09051","10/22/14 17:32","BNFの例と何度も出ているが、毎回変化するものと見て良いのでしょうか?","式についても、いろいろな定義があるということです。","",""
"N09075","","未回答","","",""
"N10010","10/21/14 15:35","BNFの構文木を書く時に勝手に付け足さない。(「a(bc)」の時に*をつけて回答できるように変えない)","はい。","",""
"N10093","10/21/14 15:36","条件式は今回は先生が作ったものを使用しましたが、言語ごとに条件は違うのでしょうか、様々なプラットホームで稼働するJava言語の場合条件式というのは、その都度異なるものなのでしょうか。","Javaの言語仕様はきちんと決められています。","不本意にも後ろに座ってしまうことになり、残念でした。ところで、答えの解説をしていない設問がありましたがよろしかったのでしょうか","不本意とはどういう意味？
答えの解説が必要なら言ってください。"
"N10101","","未回答","","",""
"N11016","10/21/14 19:41","今日の講義ではBNFについて学習した。これは何かある式を木構造に分解してやるものである。BNFを学ぶうえで記号に意味をしっかり覚えておく必要がある。例えば=を例にあげると、=は両辺が等しいと使われたり、何かを何かに代入してやるのに使われたりするのに使われる。あとこれは具体的にC言語のコンパイラに使われている。","等号がどういう意味かは、構文規則では書けないという点が大事。
最後の「これは」って何？","",""
"N11018","10/22/14 9:47","コンパイラが行う処理の一つである構文解析とは、構文規則に従って入力された文を解析して導出の過程を明らかにし、構文木を構成することである。ただし、 A=B+C*A のような代入文の場合、構文木が複数構成されてしまうため曖昧性がある。","この式が曖昧なのではなく、例として使った文法規則が曖昧さを含むという話です。","",""
"N11023","","未回答","","",""
"N11055","10/21/14 15:03","BNFによって記された規則に則ってコンパイラは構文木を生成し構文解析を行う。またBNFには規則の定義が(容易?)より柔軟になった拡張BNFがある。本日の講義までの内容だと構文木を生成する際に曖昧さが発生する事がある。","わざと曖昧な構文規則を作って、皆さんに見せたわけです。","",""
"N11058","10/22/14 12:49","BNFの文法規則を使って、構文木を書く演習をした。拡張BNFもありいくつかの書き方がある。0回以上の繰り返しを*で、一回以上の繰り返しを+で、わかる場合は〃を省略する。","はい。","",""
"N11061","10/22/14 12:51","BNFの曖昧な表現での不都合はコンパイラエラーがおきたときのみになりますか?","曖昧な文法規則のままでは、コンパイラが作れません。そこに約束事が追加されるというわけです。","",""
"N11072","10/22/14 7:01","前回の授業が相当残ったので引き続きBNFについての内容で、BNFの算術式と文法規則に基づいた構文木の導出の仕方の講義が行われた","何をやったかの羅列では復習にならないからダメです。内容を説明してください。たとえば、構文木と構文図がどう違うのかなど。","",""
